"district","statename"
"Nicobar","Andaman & Nicobar Islands"
"North And Middle Andaman","Andaman & Nicobar Islands"
"South Andaman","Andaman & Nicobar Islands"
"Ananthapur","Andhra Pradesh"
"Chittoor","Andhra Pradesh"
"Cuddapah","Andhra Pradesh"
"East Godavari","Andhra Pradesh"
"Guntur","Andhra Pradesh"
"Krishna","Andhra Pradesh"
"Kurnool","Andhra Pradesh"
"Nellore","Andhra Pradesh"
"Prakasam","Andhra Pradesh"
"Srikakulam","Andhra Pradesh"
"Visakhapatnam","Andhra Pradesh"
"Vizianagaram","Andhra Pradesh"
"West Godavari","Andhra Pradesh"
"Changlang","Arunachal Pradesh"
"Dibang Valley","Arunachal Pradesh"
"East Kameng","Arunachal Pradesh"
"East Siang","Arunachal Pradesh"
"Kurung Kumey","Arunachal Pradesh"
"Lohit","Arunachal Pradesh"
"Lower Subansiri","Arunachal Pradesh"
"Papum Pare","Arunachal Pradesh"
"Tawang","Arunachal Pradesh"
"Tirap","Arunachal Pradesh"
"Upper Siang","Arunachal Pradesh"
"Upper Subansiri","Arunachal Pradesh"
"West Kameng","Arunachal Pradesh"
"West Siang","Arunachal Pradesh"
"Barpeta","Assam"
"Bongaigaon","Assam"
"Cachar","Assam"
"Darrang","Assam"
"Dhemaji","Assam"
"Dhubri","Assam"
"Dibrugarh","Assam"
"Goalpara","Assam"
"Golaghat","Assam"
"Hailakandi","Assam"
"Jorhat","Assam"
"Kamrup","Assam"
"Karbi Anglong","Assam"
"Karimganj","Assam"
"Kokrajhar","Assam"
"Lakhimpur","Assam"
"Marigaon","Assam"
"Nagaon","Assam"
"Nalbari","Assam"
"North Cachar Hills","Assam"
"Sibsagar","Assam"
"Sonitpur","Assam"
"Tinsukia","Assam"
"Araria","Bihar"
"Arwal","Bihar"
"Aurangabad(Bh)","Bihar"
"Banka","Bihar"
"Begusarai","Bihar"
"Bhagalpur","Bihar"
"Bhojpur","Bihar"
"Buxar","Bihar"
"Darbhanga","Bihar"
"East Champaran","Bihar"
"Gaya","Bihar"
"Gopalganj","Bihar"
"Jamui","Bihar"
"Jehanabad","Bihar"
"Kaimur (Bhabua)","Bihar"
"Katihar","Bihar"
"Khagaria","Bihar"
"Kishanganj","Bihar"
"Lakhisarai","Bihar"
"Madhepura","Bihar"
"Madhubani","Bihar"
"Munger","Bihar"
"Muzaffarpur","Bihar"
"Nalanda","Bihar"
"Nawada","Bihar"
"Patna","Bihar"
"Purnia","Bihar"
"Rohtas","Bihar"
"Saharsa","Bihar"
"Samastipur","Bihar"
"Saran","Bihar"
"Sheikhpura","Bihar"
"Sheohar","Bihar"
"Sitamarhi","Bihar"
"Siwan","Bihar"
"Supaul","Bihar"
"Vaishali","Bihar"
"West Champaran","Bihar"
"Chandigarh","Chandigarh"
"Bastar","Chattisgarh"
"Bijapur","Chattisgarh"
"Bilaspur","Chattisgarh"
"Dantewada","Chattisgarh"
"Dhamtari","Chattisgarh"
"Durg","Chattisgarh"
"Janjgir-Champa","Chattisgarh"
"Jashpur","Chattisgarh"
"Kanker","Chattisgarh"
"Kawardha","Chattisgarh"
"Korba","Chattisgarh"
"Koriya","Chattisgarh"
"Mahasamund","Chattisgarh"
"Narayanpur","Chattisgarh"
"Raigarh","Chattisgarh"
"Raipur","Chattisgarh"
"Rajnandgaon","Chattisgarh"
"Surguja","Chattisgarh"
"Dadra & Nagar Haveli","Dadra & Nagar Haveli"
"Daman","Daman & Diu"
"Diu","Daman & Diu"
"Central Delhi","Delhi"
"North Delhi","Delhi"
"North East Delhi","Delhi"
"North West Delhi","Delhi"
"South Delhi","Delhi"
"South East Delhi","Delhi"
"South West Delhi","Delhi"
"West Delhi","Delhi"
"North Goa","Goa"
"South Goa","Goa"
"Ahmedabad","Gujarat"
"Amreli","Gujarat"
"Anand","Gujarat"
"Banaskantha","Gujarat"
"Bharuch","Gujarat"
"Bhavnagar","Gujarat"
"Dahod","Gujarat"
"Gandhi Nagar","Gujarat"
"Jamnagar","Gujarat"
"Junagadh","Gujarat"
"Kachchh","Gujarat"
"Kheda","Gujarat"
"Mahesana","Gujarat"
"Morbi","Gujarat"
"Narmada","Gujarat"
"Navsari","Gujarat"
"Panch Mahals","Gujarat"
"Patan","Gujarat"
"Porbandar","Gujarat"
"Rajkot","Gujarat"
"Sabarkantha","Gujarat"
"Surat","Gujarat"
"Surendra Nagar","Gujarat"
"The Dangs","Gujarat"
"Vadodara","Gujarat"
"Valsad","Gujarat"
"Ambala","Haryana"
"Bhiwani","Haryana"
"Faridabad","Haryana"
"Fatehabad","Haryana"
"Gurgaon","Haryana"
"Hisar","Haryana"
"Jhajjar","Haryana"
"Jind","Haryana"
"Kaithal","Haryana"
"Karnal","Haryana"
"Kurukshetra","Haryana"
"Mahendragarh","Haryana"
"Panchkula","Haryana"
"Panipat","Haryana"
"Rewari","Haryana"
"Rohtak","Haryana"
"Sirsa","Haryana"
"Sonipat","Haryana"
"Yamuna Nagar","Haryana"
"Bilaspur (Hp)","Himachal Pradesh"
"Chamba","Himachal Pradesh"
"Hamirpur(Hp)","Himachal Pradesh"
"Kangra","Himachal Pradesh"
"Kinnaur","Himachal Pradesh"
"Kullu","Himachal Pradesh"
"Lahul & Spiti","Himachal Pradesh"
"Mandi","Himachal Pradesh"
"Shimla","Himachal Pradesh"
"Sirmaur","Himachal Pradesh"
"Solan","Himachal Pradesh"
"Una","Himachal Pradesh"
"Ananthnag","Jammu & Kashmir"
"Bandipur","Jammu & Kashmir"
"Baramulla","Jammu & Kashmir"
"Budgam","Jammu & Kashmir"
"Doda","Jammu & Kashmir"
"Jammu","Jammu & Kashmir"
"Kargil","Jammu & Kashmir"
"Kathua","Jammu & Kashmir"
"Kupwara","Jammu & Kashmir"
"Leh","Jammu & Kashmir"
"Poonch","Jammu & Kashmir"
"Pulwama","Jammu & Kashmir"
"Rajauri","Jammu & Kashmir"
"Srinagar","Jammu & Kashmir"
"Udhampur","Jammu & Kashmir"
"Bokaro","Jharkhand"
"Chatra","Jharkhand"
"Deoghar","Jharkhand"
"Dhanbad","Jharkhand"
"Dumka","Jharkhand"
"East Singhbhum","Jharkhand"
"Garhwa","Jharkhand"
"Giridh","Jharkhand"
"Godda","Jharkhand"
"Gumla","Jharkhand"
"Hazaribag","Jharkhand"
"Jamtara","Jharkhand"
"Khunti","Jharkhand"
"Koderma","Jharkhand"
"Latehar","Jharkhand"
"Lohardaga","Jharkhand"
"Pakur","Jharkhand"
"Palamau","Jharkhand"
"Ramgarh","Jharkhand"
"Ranchi","Jharkhand"
"Sahibganj","Jharkhand"
"Seraikela-Kharsawan","Jharkhand"
"Simdega","Jharkhand"
"West Singhbhum","Jharkhand"
"Bagalkot","Karnataka"
"Bangalore","Karnataka"
"Bangalore Rural","Karnataka"
"Belgaum","Karnataka"
"Bellary","Karnataka"
"Bidar","Karnataka"
"Bijapur","Karnataka"
"Chamrajnagar","Karnataka"
"Chickmagalur","Karnataka"
"Chikkaballapur","Karnataka"
"Chitradurga","Karnataka"
"Dakshina Kannada","Karnataka"
"Davangare","Karnataka"
"Dharward","Karnataka"
"Gadag","Karnataka"
"Gulbarga","Karnataka"
"Hassan","Karnataka"
"Haveri","Karnataka"
"Kodagu","Karnataka"
"Kolar","Karnataka"
"Koppal","Karnataka"
"Mandya","Karnataka"
"Mysuru","Karnataka"
"Raichur","Karnataka"
"Ramanagar","Karnataka"
"Shimoga","Karnataka"
"Tumkur","Karnataka"
"Udupi","Karnataka"
"Uttara Kannada","Karnataka"
"Alappuzha","Kerala"
"Ernakulam","Kerala"
"Idukki","Kerala"
"Kannur","Kerala"
"Kasargod","Kerala"
"Kollam","Kerala"
"Kottayam","Kerala"
"Kozhikode","Kerala"
"Malappuram","Kerala"
"Palakkad","Kerala"
"Pathanamthitta","Kerala"
"Thiruvananthapuram","Kerala"
"Thrissur","Kerala"
"Wayanad","Kerala"
"Lakshadweep","Lakshadweep"
"Anuppur","Madhya Pradesh"
"Balaghat","Madhya Pradesh"
"Barwani","Madhya Pradesh"
"Betul","Madhya Pradesh"
"Bhind","Madhya Pradesh"
"Bhopal","Madhya Pradesh"
"Chhatarpur","Madhya Pradesh"
"Chhindwara","Madhya Pradesh"
"Damoh","Madhya Pradesh"
"Datia","Madhya Pradesh"
"Dewas","Madhya Pradesh"
"Dhar","Madhya Pradesh"
"Dindori","Madhya Pradesh"
"East Nimar","Madhya Pradesh"
"Guna","Madhya Pradesh"
"Gwalior","Madhya Pradesh"
"Harda","Madhya Pradesh"
"Hoshangabad","Madhya Pradesh"
"Indore","Madhya Pradesh"
"Jabalpur","Madhya Pradesh"
"Jhabua","Madhya Pradesh"
"Katni","Madhya Pradesh"
"Mandla","Madhya Pradesh"
"Mandsaur","Madhya Pradesh"
"Morena","Madhya Pradesh"
"Narsinghpur","Madhya Pradesh"
"Neemuch","Madhya Pradesh"
"Panna","Madhya Pradesh"
"Raisen","Madhya Pradesh"
"Rajgarh","Madhya Pradesh"
"Ratlam","Madhya Pradesh"
"Rewa","Madhya Pradesh"
"Sagar","Madhya Pradesh"
"Satna","Madhya Pradesh"
"Sehore","Madhya Pradesh"
"Seoni","Madhya Pradesh"
"Shahdol","Madhya Pradesh"
"Shajapur","Madhya Pradesh"
"Sheopur","Madhya Pradesh"
"Shivpuri","Madhya Pradesh"
"Sidhi","Madhya Pradesh"
"Tikamgarh","Madhya Pradesh"
"Ujjain","Madhya Pradesh"
"Umaria","Madhya Pradesh"
"Vidisha","Madhya Pradesh"
"West Nimar","Madhya Pradesh"
"Ahmed Nagar","Maharashtra"
"Akola","Maharashtra"
"Amravati","Maharashtra"
"Aurangabad","Maharashtra"
"Beed","Maharashtra"
"Bhandara","Maharashtra"
"Buldhana","Maharashtra"
"Chandrapur","Maharashtra"
"Dhule","Maharashtra"
"Gadchiroli","Maharashtra"
"Gondia","Maharashtra"
"Hingoli","Maharashtra"
"Jalgaon","Maharashtra"
"Jalna","Maharashtra"
"Kolhapur","Maharashtra"
"Latur","Maharashtra"
"Mumbai","Maharashtra"
"Nagpur","Maharashtra"
"Nanded","Maharashtra"
"Nandurbar","Maharashtra"
"Nashik","Maharashtra"
"Osmanabad","Maharashtra"
"Parbhani","Maharashtra"
"Pune","Maharashtra"
"Raigarh(Mh)","Maharashtra"
"Ratnagiri","Maharashtra"
"Sangli","Maharashtra"
"Satara","Maharashtra"
"Sindhudurg","Maharashtra"
"Solapur","Maharashtra"
"Thane","Maharashtra"
"Wardha","Maharashtra"
"Washim","Maharashtra"
"Yavatmal","Maharashtra"
"Bishnupur","Manipur"
"Chandel","Manipur"
"Churachandpur","Manipur"
"Imphal East","Manipur"
"Imphal West","Manipur"
"Senapati","Manipur"
"Tamenglong","Manipur"
"Thoubal","Manipur"
"Ukhrul","Manipur"
"East Garo Hills","Meghalaya"
"East Khasi Hills","Meghalaya"
"Jaintia Hills","Meghalaya"
"Ri Bhoi","Meghalaya"
"South Garo Hills","Meghalaya"
"West Garo Hills","Meghalaya"
"West Khasi Hills","Meghalaya"
"Aizawl","Mizoram"
"Champhai","Mizoram"
"Kolasib","Mizoram"
"Lawngtlai","Mizoram"
"Lunglei","Mizoram"
"Mammit","Mizoram"
"Saiha","Mizoram"
"Serchhip","Mizoram"
"Dimapur","Nagaland"
"Kiphire","Nagaland"
"Kohima","Nagaland"
"Longleng","Nagaland"
"Mokokchung","Nagaland"
"Mon","Nagaland"
"Peren","Nagaland"
"Phek","Nagaland"
"Tuensang","Nagaland"
"Wokha","Nagaland"
"Zunhebotto","Nagaland"
"Angul","Odisha"
"Balangir","Odisha"
"Baleswar","Odisha"
"Bargarh","Odisha"
"Bhadrak","Odisha"
"Boudh","Odisha"
"Cuttack","Odisha"
"Debagarh","Odisha"
"Dhenkanal","Odisha"
"Gajapati","Odisha"
"Ganjam","Odisha"
"Jagatsinghapur","Odisha"
"Jajapur","Odisha"
"Jharsuguda","Odisha"
"Kalahandi","Odisha"
"Kandhamal","Odisha"
"Kendrapara","Odisha"
"Kendujhar","Odisha"
"Khorda","Odisha"
"Koraput","Odisha"
"Malkangiri","Odisha"
"Mayurbhanj","Odisha"
"Nabarangapur","Odisha"
"Nayagarh","Odisha"
"Nuapada","Odisha"
"Puri","Odisha"
"Rayagada","Odisha"
"Sambalpur","Odisha"
"Sonapur","Odisha"
"Sundergarh","Odisha"
"Karaikal","Pondicherry"
"Pondicherry","Pondicherry"
"Amritsar","Punjab"
"Barnala","Punjab"
"Bathinda","Punjab"
"Faridkot","Punjab"
"Fatehgarh Sahib","Punjab"
"Fazilka","Punjab"
"Firozpur","Punjab"
"Gurdaspur","Punjab"
"Hoshiarpur","Punjab"
"Jalandhar","Punjab"
"Kapurthala","Punjab"
"Ludhiana","Punjab"
"Mansa","Punjab"
"Moga","Punjab"
"Muktsar","Punjab"
"Nawanshahr","Punjab"
"Pathankot","Punjab"
"Patiala","Punjab"
"Rupnagar","Punjab"
"Sangrur","Punjab"
"Tarn Taran","Punjab"
"Ajmer","Rajasthan"
"Alwar","Rajasthan"
"Banswara","Rajasthan"
"Baran","Rajasthan"
"Barmer","Rajasthan"
"Bharatpur","Rajasthan"
"Bhilwara","Rajasthan"
"Bikaner","Rajasthan"
"Bundi","Rajasthan"
"Chittorgarh","Rajasthan"
"Churu","Rajasthan"
"Dausa","Rajasthan"
"Dholpur","Rajasthan"
"Dungarpur","Rajasthan"
"Ganganagar","Rajasthan"
"Hanumangarh","Rajasthan"
"Jaipur","Rajasthan"
"Jaisalmer","Rajasthan"
"Jalor","Rajasthan"
"Jhalawar","Rajasthan"
"Jhujhunu","Rajasthan"
"Jodhpur","Rajasthan"
"Karauli","Rajasthan"
"Kota","Rajasthan"
"Nagaur","Rajasthan"
"Pali","Rajasthan"
"Rajsamand","Rajasthan"
"Sawai Madhopur","Rajasthan"
"Sikar","Rajasthan"
"Sirohi","Rajasthan"
"Tonk","Rajasthan"
"Udaipur","Rajasthan"
"East Sikkim","Sikkim"
"North Sikkim","Sikkim"
"South Sikkim","Sikkim"
"West Sikkim","Sikkim"
"Ariyalur","Tamil Nadu"
"Chennai","Tamil Nadu"
"Coimbatore","Tamil Nadu"
"Cuddalore","Tamil Nadu"
"Dharmapuri","Tamil Nadu"
"Dindigul","Tamil Nadu"
"Erode","Tamil Nadu"
"Kanchipuram","Tamil Nadu"
"Kanyakumari","Tamil Nadu"
"Karur","Tamil Nadu"
"Krishnagiri","Tamil Nadu"
"Madurai","Tamil Nadu"
"Nagapattinam","Tamil Nadu"
"Namakkal","Tamil Nadu"
"Nilgiris","Tamil Nadu"
"Perambalur","Tamil Nadu"
"Pudukkottai","Tamil Nadu"
"Ramanathapuram","Tamil Nadu"
"Salem","Tamil Nadu"
"Sivaganga","Tamil Nadu"
"Thanjavur","Tamil Nadu"
"Theni","Tamil Nadu"
"Tiruchirappalli","Tamil Nadu"
"Tirunelveli","Tamil Nadu"
"Tiruppur","Tamil Nadu"
"Tiruvallur","Tamil Nadu"
"Tiruvannamalai","Tamil Nadu"
"Tiruvarur","Tamil Nadu"
"Tuticorin","Tamil Nadu"
"Vellore","Tamil Nadu"
"Villupuram","Tamil Nadu"
"Virudhunagar","Tamil Nadu"
"Adilabad","Telangana"
"Hyderabad","Telangana"
"K.V.Rangareddy","Telangana"
"Karim Nagar","Telangana"
"Khammam","Telangana"
"Mahabub Nagar","Telangana"
"Medak","Telangana"
"Nalgonda","Telangana"
"Nizamabad","Telangana"
"Warangal","Telangana"
"Dhalai","Tripura"
"North Tripura","Tripura"
"South Tripura","Tripura"
"West Tripura","Tripura"
"Agra","Uttar Pradesh"
"Aligarh","Uttar Pradesh"
"Allahabad","Uttar Pradesh"
"Ambedkar Nagar","Uttar Pradesh"
"Auraiya","Uttar Pradesh"
"Azamgarh","Uttar Pradesh"
"Bagpat","Uttar Pradesh"
"Bahraich","Uttar Pradesh"
"Ballia","Uttar Pradesh"
"Balrampur","Uttar Pradesh"
"Banda","Uttar Pradesh"
"Barabanki","Uttar Pradesh"
"Bareilly","Uttar Pradesh"
"Basti","Uttar Pradesh"
"Bijnor","Uttar Pradesh"
"Budaun","Uttar Pradesh"
"Bulandshahr","Uttar Pradesh"
"Chandauli","Uttar Pradesh"
"Chitrakoot","Uttar Pradesh"
"Deoria","Uttar Pradesh"
"Etah","Uttar Pradesh"
"Etawah","Uttar Pradesh"
"Faizabad","Uttar Pradesh"
"Farrukhabad","Uttar Pradesh"
"Fatehpur","Uttar Pradesh"
"Firozabad","Uttar Pradesh"
"Gautam Buddha Nagar","Uttar Pradesh"
"Ghaziabad","Uttar Pradesh"
"Ghazipur","Uttar Pradesh"
"Gonda","Uttar Pradesh"
"Gorakhpur","Uttar Pradesh"
"Hamirpur","Uttar Pradesh"
"Hardoi","Uttar Pradesh"
"Hathras","Uttar Pradesh"
"Jalaun","Uttar Pradesh"
"Jaunpur","Uttar Pradesh"
"Jhansi","Uttar Pradesh"
"Jyotiba Phule Nagar","Uttar Pradesh"
"Kannauj","Uttar Pradesh"
"Kanpur Dehat","Uttar Pradesh"
"Kanpur Nagar","Uttar Pradesh"
"Kaushambi","Uttar Pradesh"
"Kheri","Uttar Pradesh"
"Kushinagar","Uttar Pradesh"
"Lalitpur","Uttar Pradesh"
"Lucknow","Uttar Pradesh"
"Maharajganj","Uttar Pradesh"
"Mahoba","Uttar Pradesh"
"Mainpuri","Uttar Pradesh"
"Mathura","Uttar Pradesh"
"Mau","Uttar Pradesh"
"Meerut","Uttar Pradesh"
"Mirzapur","Uttar Pradesh"
"Moradabad","Uttar Pradesh"
"Muzaffarnagar","Uttar Pradesh"
"Pilibhit","Uttar Pradesh"
"Pratapgarh","Uttar Pradesh"
"Raebareli","Uttar Pradesh"
"Rampur","Uttar Pradesh"
"Saharanpur","Uttar Pradesh"
"Sant Kabir Nagar","Uttar Pradesh"
"Sant Ravidas Nagar","Uttar Pradesh"
"Shahjahanpur","Uttar Pradesh"
"Shrawasti","Uttar Pradesh"
"Siddharthnagar","Uttar Pradesh"
"Sitapur","Uttar Pradesh"
"Sonbhadra","Uttar Pradesh"
"Sultanpur","Uttar Pradesh"
"Unnao","Uttar Pradesh"
"Varanasi","Uttar Pradesh"
"Almora","Uttarakhand"
"Bageshwar","Uttarakhand"
"Chamoli","Uttarakhand"
"Champawat","Uttarakhand"
"Dehradun","Uttarakhand"
"Haridwar","Uttarakhand"
"Nainital","Uttarakhand"
"Pauri Garhwal","Uttarakhand"
"Pithoragarh","Uttarakhand"
"Rudraprayag","Uttarakhand"
"Tehri Garhwal","Uttarakhand"
"Udham Singh Nagar","Uttarakhand"
"Uttarkashi","Uttarakhand"
"Bankura","West Bengal"
"Bardhaman","West Bengal"
"Birbhum","West Bengal"
"Cooch Behar","West Bengal"
"Darjiling","West Bengal"
"East Midnapore","West Bengal"
"Hooghly","West Bengal"
"Howrah","West Bengal"
"Jalpaiguri","West Bengal"
"Kolkata","West Bengal"
"Malda","West Bengal"
"Murshidabad","West Bengal"
"Nadia","West Bengal"
"North 24 Parganas","West Bengal"
"North Dinajpur","West Bengal"
"Purulia","West Bengal"
"South 24 Parganas","West Bengal"
"South Dinajpur","West Bengal"
"West Midnapore","West Bengal"
